Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Chance of Admit ,Research
1,337,118,4,4.5,4.5,9.65,0.92,1
2,324,107,4,4,4.5,8.87,0.76,1
3,316,104,3,3,3.5,8,0.72,1
4,322,110,3,3.5,2.5,8.67,0.8,1
5,314,103,2,2,3,8.21,0.65,0
6,330,115,5,4.5,3,9.34,0.9,1
7,321,109,3,3,4,8.2,0.75,1
8,308,101,2,3,4,7.9,0.68,0
9,302,102,1,2,1.5,8,0.5,0
10,323,108,3,3.5,3,8.6,0.45,0
11,325,106,3,3.5,4,8.4,0.52,1
12,327,111,4,4,4.5,9,0.84,1
13,328,112,4,4,4.5,9.1,0.78,1
14,307,109,3,4,3,8,0.62,1
15,311,104,3,3.5,2,8.2,0.61,1
16,314,105,3,3.5,2.5,8.3,0.54,0
17,317,107,3,4,3,8.7,0.66,0
18,319,106,3,4,3,8,0.65,1
19,318,110,3,4,3,8.8,0.63,0
20,303,102,3,3.5,3,8.5,0.62,0
21,312,107,3,3,2,7.9,0.64,1
22,325,114,4,3,2,8.4,0.7,0
23,328,116,5,5,5,9.5,0.94,1
24,334,119,5,5,4.5,9.7,0.95,1
25,336,119,5,4,3.5,9.8,0.97,1
26,340,120,5,4.5,4.5,9.6,0.94,1
27,322,109,5,4.5,3.5,8.8,0.76,0
28,298,98,2,1.5,2.5,7.5,0.44,1
29,295,93,1,2,2,7.2,0.46,0
30,310,99,2,1.5,2,7.3,0.54,0
31,300,97,2,3,3,8.1,0.65,1
32,327,103,3,4,4,8.3,0.74,1
33,338,118,4,3,4.5,9.4,0.91,1
34,340,114,5,4,4,9.6,0.9,1
35,331,112,5,4,5,9.8,0.94,1
36,320,110,5,5,5,9.2,0.88,1
37,299,106,2,4,4,8.4,0.64,0
38,300,105,1,1,2,7.8,0.58,0
39,304,105,1,3,1.5,7.5,0.52,0
40,307,108,2,4,3.5,7.7,0.48,0
41,308,110,3,3.5,3,8,0.46,1
42,316,105,2,2.5,2.5,8.2,0.49,1
43,313,107,2,2.5,2,8.5,0.53,1
44,332,117,4,4.5,4,9.1,0.87,0
45,326,113,5,4.5,4,9.4,0.91,1
46,322,110,5,5,4,9.1,0.88,1
47,329,114,5,4,5,9.3,0.86,1
48,339,119,5,4.5,4,9.7,0.89,0
49,321,110,3,3.5,5,8.85,0.82,1
50,327,111,4,3,4,8.4,0.78,1
51,313,98,3,2.5,4.5,8.3,0.76,1
52,312,100,2,1.5,3.5,7.9,0.56,1
53,334,116,4,4,3,8,0.78,1
54,324,112,4,4,2.5,8.1,0.72,1
55,322,110,3,3,3.5,8,0.7,0
56,320,103,3,3,3,7.7,0.64,0
57,316,102,3,2,3,7.4,0.64,0
58,298,99,2,4,2,7.6,0.46,0
59,300,99,1,3,2,6.8,0.36,1
60,311,104,2,2,2,8.3,0.42,0
61,309,100,2,3,3,8.1,0.48,0
62,307,101,3,4,3,8.2,0.47,0
63,304,105,2,3,3,8.2,0.54,1
64,315,107,2,4,3,8.5,0.56,1
65,325,111,3,3,3.5,8.7,0.52,0
66,325,112,4,3.5,3.5,8.92,0.55,0
67,327,114,3,3,3,9.02,0.61,0
68,316,107,2,3.5,3.5,8.64,0.57,1
69,318,109,3,3.5,4,9.22,0.68,1
70,328,115,4,4.5,4,9.16,0.78,1
71,332,118,5,5,5,9.64,0.94,1
72,336,112,5,5,5,9.76,0.96,1
73,321,111,5,5,5,9.45,0.93,1
74,314,108,4,4.5,4,9.04,0.84,1
75,314,106,3,3,5,8.9,0.74,0
76,329,114,2,2,4,8.56,0.72,1
77,327,112,3,3,3,8.72,0.74,1
78,301,99,2,3,2,8.22,0.64,0
79,296,95,2,3,2,7.54,0.44,1
80,294,93,1,1.5,2,7.36,0.46,0
81,312,105,3,2,3,8.02,0.5,1
82,340,120,4,5,5,9.5,0.96,1
83,320,110,5,5,4.5,9.22,0.92,1
84,322,115,5,4,4.5,9.36,0.92,1
85,340,115,5,4.5,4.5,9.45,0.94,1
86,319,103,4,4.5,3.5,8.66,0.76,0
87,315,106,3,4.5,3.5,8.42,0.72,0
88,317,107,2,3.5,3,8.28,0.66,0
89,314,108,3,4.5,3.5,8.14,0.64,0
90,316,109,4,4.5,3.5,8.76,0.74,1
91,318,106,2,4,4,7.92,0.64,1
92,299,97,3,5,3.5,7.66,0.38,0
93,298,98,2,4,3,8.03,0.34,0
94,301,97,2,3,3,7.88,0.44,1
95,303,99,3,2,2.5,7.66,0.36,0
96,304,100,4,1.5,2.5,7.84,0.42,0
97,306,100,2,3,3,8,0.48,0
98,331,120,3,4,4,8.96,0.86,1
99,332,119,4,5,4.5,9.24,0.9,1
100,323,113,3,4,4,8.88,0.79,1
101,322,107,3,3.5,3.5,8.46,0.71,1
102,312,105,2,2.5,3,8.12,0.64,0
103,314,106,2,4,3.5,8.25,0.62,0
104,317,104,2,4.5,4,8.47,0.57,0
105,326,112,3,3.5,3,9.05,0.74,1
106,316,110,3,4,4.5,8.78,0.69,1
107,329,111,4,4.5,4.5,9.18,0.87,1
108,338,117,4,3.5,4.5,9.46,0.91,1
109,331,116,5,5,5,9.38,0.93,1
110,304,103,5,5,4,8.64,0.68,0
111,305,108,5,3,3,8.48,0.61,0
112,321,109,4,4,4,8.68,0.69,1
113,301,107,3,3.5,3.5,8.34,0.62,1
114,320,110,2,4,3.5,8.56,0.72,0
115,311,105,3,3.5,3,8.45,0.59,1
116,310,106,4,4.5,4.5,9.04,0.66,1
117,299,102,3,4,3.5,8.62,0.56,0
118,290,104,4,2,2.5,7.46,0.45,0
119,296,99,2,3,3.5,7.28,0.47,0
120,327,104,5,3,3.5,8.84,0.71,1
121,335,117,5,5,5,9.56,0.94,1
122,334,119,5,4.5,4.5,9.48,0.94,1
123,310,106,4,1.5,2.5,8.36,0.57,0
124,308,108,3,3.5,3.5,8.22,0.61,0
125,301,106,4,2.5,3,8.47,0.57,0
126,300,100,3,2,3,8.66,0.64,1
127,323,113,3,4,3,9.32,0.85,1
128,319,112,3,2.5,2,8.71,0.78,1
129,326,112,3,3.5,3,9.1,0.84,1
130,333,118,5,5,5,9.35,0.92,1
131,339,114,5,4,4.5,9.76,0.96,1
132,303,105,5,5,4.5,8.65,0.77,0
133,309,105,5,3.5,3.5,8.56,0.71,0
134,323,112,5,4,4.5,8.78,0.79,0
135,333,113,5,4,4,9.28,0.89,1
136,314,109,4,3.5,4,8.77,0.82,1
137,312,103,3,5,4,8.45,0.76,0
138,316,100,2,1.5,3,8.16,0.71,1
139,326,116,2,4.5,3,9.08,0.8,1
140,318,109,1,3.5,3.5,9.12,0.78,0
141,329,110,2,4,3,9.15,0.84,1
142,332,118,2,4.5,3.5,9.36,0.9,1
143,331,115,5,4,3.5,9.44,0.92,1
144,340,120,4,4.5,4,9.92,0.97,1
145,325,112,2,3,3.5,8.96,0.8,1
146,320,113,2,2,2.5,8.64,0.81,1
147,315,105,3,2,2.5,8.48,0.75,0
148,326,114,3,3,3,9.11,0.83,1
149,339,116,4,4,3.5,9.8,0.96,1
150,311,106,2,3.5,3,8.26,0.79,1
151,334,114,4,4,4,9.43,0.93,1
152,332,116,5,5,5,9.28,0.94,1
153,321,112,5,5,5,9.06,0.86,1
154,324,105,3,3,4,8.75,0.79,0
155,326,108,3,3,3.5,8.89,0.8,0
156,312,109,3,3,3,8.69,0.77,0
157,315,105,3,2,2.5,8.34,0.7,0
